Player,Team,Corrected Player,Corrected Team,Notes
Mitch Marner,TOR,Mitchell Marner,TOR,
Taylor Hall,BUF,Taylor Hall,NJD,
Torey Krug,STL,Torey Krug,BOS,
Tyson Barrie,EDM,Tyson Barrie,TOR,
Max Domi,CBJ,Max Domi,MTL,
Devan Dubnyk,SJS,Devan Dubnyk,MIN,
Evgenii Dadonov,OTT,Evgenii Dadonov,FLA,
Matt Murray,OTT,Matt Murray,PIT,
Alex Pietrangelo,VGK,Alex Pietrangelo,STL,
Paul Stastny,WPG,Paul Stastny,VGK,
Braden Holtby,VAN,Braden Holtby,WSH,
Jacob Markstrom,CGY,Jacob Markstrom,VAN,
Erik Gustafsson,PHI,Erik Gustafsson,CHI,
Eric Staal,BUF,Eric Staal,MIN,
Kevin Shattenkirk,ANA,Kevin Shattenkirk,TBL,
Dustin Byfuglien,WPG,Dustin Byfuglien,,Was not on roster.
