Player,Team,Corrected Player,Corrected Team
John Tavares,TOR,John Tavares,NYI
Dougie Hamilton,CAR,Dougie Hamilton,CGY
Mitch Marner,TOR,Mitchell Marner,TOR
Mike Hoffman,FLA,Mike Hoffman,OTT
Ryan O'Reilly,STL,Ryan O'Reilly,BUF
Alexander Wennberg,CBJ,Alex Wennberg,CBJ
Jeff Skinner,BUF,Jeff Skinner,CAR
Max Domi,MTL,Max Domi,ARI
Alex Galchenyuk,ARI,Alex Galchenyuk,MTL
T.J. Brodie,CGY,TJ Brodie,CGY
Conor Sheary,BUF,Conor Sheary,PIT
James van Riemsdyk,PHI,James van Riemsdyk,TOR
James Neal,CGY,James Neal,VGK
