Player,Team,Corrected Player,Corrected Team
Patrick Sharp,DAL,Patrick Sharp,CHI
T.J. Oshie,WSH,T.J. Oshie,STL
Antti Niemi,DAL,Antti Niemi,SJS
Mike Cammalleri,NJD,Michael Cammalleri,NJD
Mike Green,DET,Mike Green,WSH
Ryan O'Reilly,BUF,Ryan O'Reilly,COL
James Wisniewski,CAR,James Wisniewski,ANA
Phil Kessel,PIT,Phil Kessel,TOR
Eddie Lack,CAR,Eddie Lack,VAN
